"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Checkout process","1","0","Checkout with valid customer information","0"
"0","","1","Order completion","0","0","Complete order flow from login to order confirmation","0"
"0","","0","Shopping cart","1","0","Cart with one product","0"
"0","","0","Login functionality","1","0","Login with invalid password","0"
"0","","0","Login functionality","1","0","Login with empty credentials","0"
"0","","0","Login functionality","1","0","Login with locked user","0"
"0","","0","Shopping cart","1","0","Empty cart","0"
"0","","0","Login functionality","1","0","Successful login","0"
"0","","0","Inventory management","1","0","Add product to cart","0"
"0","","0","Inventory management","1","0","Inventory page display","0"
"0","","0","Checkout process","1","0","Checkout with missing first name","0"
