"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that checkout continues to overview page when valid customer information is provided","1305","testCheckoutWithValidInformation()","","Fri Feb 06 11:18:46 UTC 2026","passed","Fri Feb 06 11:18:47 UTC 2026","","tests.CheckoutTest","tests.CheckoutTest","testCheckoutWithValidInformation"
"Verify that a user can complete an order from login to confirmation message containing 'Thank you'","1485","testCompleteOrderFlow()","","Fri Feb 06 11:18:44 UTC 2026","failed","Fri Feb 06 11:18:46 UTC 2026","","tests.CheckoutCompleteTest","tests.CheckoutCompleteTest","testCompleteOrderFlow"
"Verify that the cart contains exactly one product after adding an item","968","testCartWithOneProduct()","","Fri Feb 06 11:18:50 UTC 2026","passed","Fri Feb 06 11:18:51 UTC 2026","","tests.CartTest","tests.CartTest","testCartWithOneProduct"
"Verify that login fails when using an invalid password","777","testLoginWithInvalidPassword()","","Fri Feb 06 11:18:53 UTC 2026","passed","Fri Feb 06 11:18:53 UTC 2026","","tests.LoginTest","tests.LoginTest","testLoginWithInvalidPassword"
"Verify that login fails when username and password are empty","765","testLoginWithEmptyCredentials()","","Fri Feb 06 11:18:53 UTC 2026","passed","Fri Feb 06 11:18:54 UTC 2026","","tests.LoginTest","tests.LoginTest","testLoginWithEmptyCredentials"
"Verify that a locked out user cannot log in and sees an error message","791","testLoginWithLockedUser()","","Fri Feb 06 11:18:51 UTC 2026","passed","Fri Feb 06 11:18:52 UTC 2026","","tests.LoginTest","tests.LoginTest","testLoginWithLockedUser"
"Verify that the cart is empty when no product has been added","1061","testEmptyCart()","","Fri Feb 06 11:18:49 UTC 2026","passed","Fri Feb 06 11:18:50 UTC 2026","","tests.CartTest","tests.CartTest","testEmptyCart"
"Verify that a user can log in with valid credentials","838","testLoginWithValidCredentials()","","Fri Feb 06 11:18:52 UTC 2026","passed","Fri Feb 06 11:18:53 UTC 2026","","tests.LoginTest","tests.LoginTest","testLoginWithValidCredentials"
"Verify that a product can be added to the cart from the inventory page","9104","testAddProductToCart()","","Fri Feb 06 11:18:34 UTC 2026","passed","Fri Feb 06 11:18:43 UTC 2026","","tests.InventoryTest","tests.InventoryTest","testAddProductToCart"
"Verify that the inventory page is displayed after a successful login","963","testInventoryPageDisplayed()","","Fri Feb 06 11:18:43 UTC 2026","passed","Fri Feb 06 11:18:44 UTC 2026","","tests.InventoryTest","tests.InventoryTest","testInventoryPageDisplayed"
"Verify that an error message is displayed when first name is missing","1874","testCheckoutWithMissingFirstName()","","Fri Feb 06 11:18:47 UTC 2026","passed","Fri Feb 06 11:18:49 UTC 2026","","tests.CheckoutTest","tests.CheckoutTest","testCheckoutWithMissingFirstName"
